vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,action
2.0,0.0,3.0,11.08179999999993,0.0,4.753699999999981,1.3593249999999983,0.0,-0.0743390000000019,1.0,1.0
1.0,5.0,2.0,17.11952999999994,2.629069999999956,15.699629999999956,-2.6129989999999985,-13.3168306,-1.324186000000001,3.0,1.0
1.0,2.0,3.0,29.00585000000001,39.537679999999966,16.43543999999997,1.274801,-9.144448,-0.6329450000000012,4.0,1.0
1.0,4.0,2.0,13.262200000000009,1.0111699999999928,14.201499999999896,0.329773000000003,-5.660564999999998,1.3882100000000008,4.0,1.0
2.0,0.0,3.0,13.212650000000052,0.0,11.861050000000091,-2.652369,0.0,-4.549106,1.0,1.0
0.0,0.0,2.0,10000.0,10000.0,22.89713999999992,10000.0,10000.0,-1.164740000000002,3.0,1.0
2.0,0.0,3.0,15.845749999999953,0.0,16.48932000000002,-2.5892870000000023,0.0,-4.673374000000001,1.0,1.0
1.0,1.0,2.0,21.69900000000007,48.82179999999994,3.802160000000072,1.5802499999999997,0.8825530000000015,1.1562370000000008,4.0,1.0
2.0,0.0,3.0,9.9752400000001,0.0,5.153950000000009,0.7379660000000001,0.0,-0.8348689999999994,4.0,1.0
1.0,3.0,3.0,19.82420000000002,13.268400000000042,0.2382499999999936,-1.8947520000000004,-2.380415,-2.716201999999999,4.0,1.0
2.0,0.0,3.0,16.765800000000013,0.0,2.2189300000000003,1.849504,0.0,1.138845,1.0,1.0
1.0,2.0,3.0,22.62100000000009,12.847400000000109,2.007399999999961,-0.5211119999999987,-0.9612610000000004,-1.1554029999999995,3.0,1.0
1.0,1.0,3.0,13.72300000000007,49.26979999999992,2.571599999999989,1.1486930000000015,0.9580330000000004,0.1481169999999991,4.0,1.0
1.0,3.0,2.0,27.228980000000035,13.83018000000004,12.044440000000009,-2.9038889999999995,-8.348465999999998,-2.833009999999998,1.0,1.0
1.0,3.0,2.0,20.6323000000001,12.252449999999952,13.360300000000052,0.4376370000000023,-2.7392199999999978,2.009107,1.0,1.0
1.0,3.0,2.0,20.25457000000005,9.949889999999982,11.41127000000006,0.3081279999999999,-2.004759,1.8722200000000024,1.0,1.0
1.0,3.0,2.0,20.145629999999983,8.011599999999987,9.764599999999971,-0.1836619999999982,-2.0648564999999994,1.3222580000000017,4.0,1.0
2.0,0.0,3.0,18.689500000000063,0.0,3.459169999999972,1.984096000000001,0.0,1.330846000000001,1.0,1.0
1.0,0.0,3.0,15.131750000000013,0.0,1.3284699999999248,1.3216540000000023,0.0,0.5483730000000016,4.0,1.0
1.0,2.0,0.0,18.77353000000005,19.75265999999999,0.0,1.2049260000000004,0.7312000000000012,0.0,4.0,1.0
1.0,2.0,3.0,22.853909999999985,1.159969999999987,8.688330000000008,-0.0926209999999976,-3.063039999999999,0.8188460000000006,4.0,1.0
0.0,4.0,2.0,10000.0,5.291049999999984,24.15185,10000.0,-9.796226,-11.817545,3.0,1.0
2.0,0.0,3.0,12.526749999999993,0.0,4.8247499999999945,1.5143529999999998,0.0,0.2063050000000004,1.0,1.0
1.0,3.0,2.0,29.77578,22.66843,14.814509999999984,-2.083933000000002,-9.143095,-2.5795990000000018,3.0,1.0
