vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,previous_action_2,action
0.0,0.0,5.0,10000.0,0.0,9.90200999999999,10000.0,0.0,-3.9399760000000015,0.0,0.0,3.0
0.0,0.0,5.0,10000.0,0.0,3.0756700000000023,10000.0,0.0,-9.280182,3.0,0.0,1.0
0.0,0.0,5.0,10000.0,0.0,7.762159999999994,10000.0,0.0,-12.579991,1.0,3.0,3.0
1.0,0.0,4.0,24.420380000000023,0.0,3.1984600000000114,-19.427356000000003,0.0,-25.677308,3.0,1.0,4.0
1.0,0.0,3.0,40.58679999999998,0.0,3.2724999999999795,-13.742113000000002,0.0,-19.094523000000002,4.0,3.0,4.0
0.0,0.0,4.0,10000.0,0.0,8.634860000000003,10000.0,0.0,-9.8930545,4.0,4.0,3.0
0.0,0.0,3.0,10000.0,0.0,2.781439999999975,10000.0,0.0,-12.362241,3.0,4.0,1.0
0.0,0.0,3.0,10000.0,0.0,15.335360000000037,10000.0,0.0,-12.641729,1.0,3.0,1.0
1.0,0.0,2.0,28.33217000000002,0.0,11.123299999999972,-12.308679000000001,0.0,-11.724307,1.0,1.0,4.0
1.0,0.0,3.0,37.847500000000025,0.0,1.3834899999999948,-7.602890000000002,0.0,-8.446319000000003,4.0,1.0,4.0
1.0,0.0,2.0,42.830809999999985,0.0,4.697690000000023,-3.2876319999999986,0.0,-4.528122,4.0,4.0,1.0
1.0,0.0,2.0,45.65899000000002,0.0,8.78798999999998,-2.5077169999999995,0.0,-3.7812790000000014,1.0,4.0,1.0
1.0,0.0,2.0,48.04050000000001,0.0,12.448949999999968,-2.2653420000000004,0.0,-3.552962000000001,1.0,1.0,1.0
0.0,0.0,2.0,10000.0,0.0,15.928920000000005,10000.0,0.0,-3.3999689999999987,1.0,1.0,3.0
0.0,0.0,2.0,10000.0,0.0,21.27094999999997,10000.0,0.0,-6.570696999999999,3.0,1.0,1.0
0.0,0.0,2.0,10000.0,0.0,16.540830000000028,10000.0,0.0,-6.267802,1.0,3.0,1.0
0.0,0.0,2.0,10000.0,0.0,10.284999999999968,10000.0,0.0,-6.216143000000002,1.0,1.0,1.0
0.0,0.0,3.0,10000.0,0.0,4.121999999999957,10000.0,0.0,-6.099822,1.0,1.0,1.0
0.0,0.0,3.0,10000.0,0.0,1.9227600000000393,10000.0,0.0,-5.983231999999997,1.0,1.0,1.0
1.0,0.0,2.0,54.85120000000006,0.0,7.8549999999999045,-4.209409000000001,0.0,-5.875802,1.0,1.0,3.0
1.0,0.0,2.0,48.61489999999992,0.0,15.694470000000024,-7.5623830000000005,0.0,-9.094237,3.0,1.0,4.0
1.0,0.0,2.0,42.700770000000034,0.0,23.079629999999952,-4.852611,0.0,-6.254846000000001,4.0,3.0,4.0
1.0,0.0,2.0,40.12360000000001,0.0,26.95094999999992,-1.1083180000000006,0.0,-1.762791,4.0,4.0,1.0
1.0,0.0,2.0,39.38738999999998,0.0,25.60480000000007,-0.5042230000000032,0.0,-1.0639520000000005,1.0,4.0,1.0
1.0,0.0,2.0,38.93020000000001,0.0,24.630750000000035,-0.4363980000000005,0.0,-0.9049379999999978,1.0,1.0,1.0
1.0,0.0,2.0,38.48572999999999,0.0,23.758659999999963,-0.4591010000000004,0.0,-0.8405759999999987,1.0,1.0,1.0
1.0,0.0,2.0,38.00989000000004,0.0,22.940309999999954,-0.4955059999999989,0.0,-0.7945409999999988,1.0,1.0,1.0
1.0,0.0,2.0,37.49720000000002,0.0,22.165100000000052,-0.531960999999999,0.0,-0.7535740000000004,1.0,1.0,3.0
