"vehicles_in_ego_lane","vehicles_in_left_lane","vehicles_in_right_lane","closest_in_ego_lane_dist","closest_left_lane_dist","closest_right_lane_dist","relative_velocity_ego_lane","relative_velocity_left_lane","relative_velocity_right_lane","previous_action_1","action"
0,0,5,10000,0,9.90200999999999,10000,0,-3.939976,0,3
0,0,5,10000,0,3.07567,10000,0,-9.280182,3,1
0,0,5,10000,0,7.76215999999999,10000,0,-12.579991,1,3
1,0,4,24.42038,0,3.19846000000001,-19.427356,0,-25.677308,3,4
1,0,3,40.5868,0,3.27249999999998,-13.742113,0,-19.094523,4,4
0,0,4,10000,0,8.63486,10000,0,-9.8930545,4,3
0,0,3,10000,0,2.78143999999997,10000,0,-12.362241,3,1
0,0,3,10000,0,15.33536,10000,0,-12.641729,1,1
1,0,2,28.33217,0,11.1233,-12.308679,0,-11.724307,1,4
1,0,3,37.8475,0,1.38348999999999,-7.60289,0,-8.446319,4,4
1,0,2,42.83081,0,4.69769000000002,-3.287632,0,-4.528122,4,1
1,0,2,45.65899,0,8.78798999999998,-2.507717,0,-3.781279,1,1
1,0,2,48.0405,0,12.44895,-2.265342,0,-3.552962,1,1
0,0,2,10000,0,15.92892,10000,0,-3.399969,1,3
0,0,2,10000,0,21.27095,10000,0,-6.570697,3,1
0,0,2,10000,0,16.54083,10000,0,-6.267802,1,1
0,0,2,10000,0,10.285,10000,0,-6.216143,1,1
0,0,3,10000,0,4.12199999999996,10000,0,-6.099822,1,1
0,0,3,10000,0,1.92276000000004,10000,0,-5.983232,1,1
1,0,2,54.8512000000001,0,7.8549999999999,-4.209409,0,-5.875802,1,3
1,0,2,48.6148999999999,0,15.69447,-7.562383,0,-9.094237,3,4
1,0,2,42.70077,0,23.0796299999999,-4.852611,0,-6.254846,4,4
1,0,2,40.1236,0,26.9509499999999,-1.108318,0,-1.762791,4,1
1,0,2,39.38739,0,25.6048000000001,-0.504223000000003,0,-1.063952,1,1
1,0,2,38.9302,0,24.63075,-0.436398000000001,0,-0.904937999999998,1,1
1,0,2,38.48573,0,23.75866,-0.459101,0,-0.840575999999999,1,1
1,0,2,38.00989,0,22.94031,-0.495505999999999,0,-0.794540999999999,1,1
1,0,2,37.4972,0,22.1651000000001,-0.531960999999999,0,-0.753574,1,3
1,0,2,34.9390999999999,0,19.41945,-3.882166,0,-4.031683,3,1
1,0,2,30.69906,0,15.0614000000001,-4.479202,0,-4.562138,1,4
1,0,2,28.1585600000001,0,12.4669,-1.286104,0,-1.308075,4,1
1,0,2,27.19507,0,11.5077699999999,-0.758457999999997,0,-0.725079999999998,1,1
1,0,2,26.48465,0,10.8543999999999,-0.682974000000002,0,-0.599781,1,3
1,0,2,23.79413,0,8.26824999999997,-3.99792,0,-3.870297,3,4
1,0,3,21.45916,0,6.07964000000004,-1.256162,0,-1.089283,4,1
1,0,3,20.4845,0,5.28835000000004,-0.792785999999999,0,-0.591571999999999,1,1
1,0,3,19.73856,0,4.75781000000006,-0.715885,0,-0.484969999999997,1,1
1,0,3,19.0306,0,4.29289999999992,-0.702354,0,-0.446058000000001,1,1
1,0,3,18.3307000000002,0,3.8597000000002,-0.697191,0,-0.419515,1,1
1,0,3,17.6361999999999,0,3.45139999999992,-0.691212,0,-0.39583,1,1
1,0,3,16.9485999999999,0,3.06610000000001,-0.683066999999998,0,-0.373332999999999,1,1
1,0,3,16.2701,0,2.70299999999997,-0.672744999999999,0,-0.351695999999997,1,1
1,0,3,15.6030000000001,0,2.36109999999985,-0.660446,0,-0.330822000000001,1,1
1,0,3,14.9490000000001,0,2.03960000000006,-0.646405999999999,0,-0.310654,1,4
1,0,3,16.3198,0,3.7482,2.685602,0,3.025293,4,1
1,0,3,19.3567,0,7.12599999999998,3.269216,0,3.61091,1,3
1,0,3,20.6828,0,8.7940000000001,0.067606999999999,0,0.409597000000002,3,1
1,0,3,20.4258,0,8.87850000000003,-0.463657000000001,0,-0.122867000000003,1,1
1,0,3,19.9142999999999,0,8.70679999999993,-0.537969,0,-0.19969,1,1
1,0,3,19.376,0,8.50520000000006,-0.533695000000002,0,-0.199058999999998,1,1
2,2,2,62.00096,20.30995,10.33864,-3.681957,-3.799946,-3.152689,1,1
1,2,2,56.69104,27.16744,5.85006999999999,-7.068389,-3.503792,-5.488309,1,3
1,2,2,47.34392,20.83745,2.13513,-10.85373,-8.655955,-9.74998,3,4
1,2,2,37.7319,12.95692,10.48308,-8.887669,-7.643522,-7.511972,4,4
1,2,2,30.97613,7.15487000000002,15.85034,-5.389781,-4.706463,-4.025186,4,4
1,2,2,27.95865,4.66982000000002,17.58261,-1.459534,-1.060258,-0.292606000000003,4,1
2,2,2,26.94168,3.99368000000004,17.57422,-0.703974,-0.402037999999999,0.143964,1,1
2,2,2,26.35187,3.71417000000002,17.4892599999999,-0.49855,-0.157711999999998,-0.026376999999998,1,3
2,2,2,23.87903,1.64196999999996,17.83844,-3.757207,-3.270962,-4.533312,3,1
2,3,2,19.76537,1.88202999999999,12.71572,-4.370381,-3.646904,-5.599692,1,4
1,3,3,17.28325,3.4966,8.89744999999999,-1.305972,-0.258550999999997,-2.713235,4,1
1,3,3,16.19549,3.35324000000003,6.42937999999998,-1.022249,0.433391999999998,-2.322219,1,1
1,3,3,15.06568,2.80682000000002,4.15141999999997,-1.2976575,0.643249999999998,-2.229923,1,4
1,3,3,15.58322,0.098270000000014,3.9905,1.584811,4.069633,1.227099,4,3
1,3,3,15.2745,2.34339999999997,3.64663999999999,-1.655649,1.399133,-1.30585,3,1
2,2,3,13.10382,3.48840000000001,2.17831000000001,-2.613434,0.992874999999998,-1.506839,1,4
2,2,3,12.24386,6.46832000000001,2.76894999999996,0.191555000000001,4.282271,2.023033,4,1
2,2,3,12.60705,11.10763,5.26625999999999,0.415471999999999,4.880969,2.87321,1,3
2,2,3,10.9658200000001,14.05481,6.32153,-3.004187,1.699019,-0.062489000000001,3,4
2,2,3,9.60000000000002,17.4472,8.06179999999995,-0.295071999999999,4.50051,2.970405,4,1
2,3,3,9.6164,22.24954,11.4346400000001,0.253083,5.00541,3.687146,1,3
2,3,3,7.98699999999997,19.74396,13.2654399999999,-2.796833,1.568867,0.671911999999999,3,4
3,2,3,6.98431000000005,16.47844,15.70646,0.233763,4.377683,3.63333,4,2
3,2,3,8.23519999999996,11.2101,20.1776400000001,1.141242,5.006758,-0.289384,2,1
4,2,2,9.48364000000004,6.23785999999996,24.7199400000001,1.451062,5.010218,4.526732,1,1
4,2,2,11.1011500000001,1.20690000000002,29.32,1.8057705,5.053399,4.680382,1,4
4,2,2,15.07457,5.87249999999995,36.07347,5.455734,8.402906,8.12893,4,3
4,2,2,18.2616,12.6227,42.592,2.259947,5.682723,5.497722,3,4
4,2,2,13.9539,20.0439,49.86626,5.755628,8.557188,8.452283,4,3
4,1,2,9.69153000000006,73.4199,56.6501999999999,3.370838,5.91165,5.72141,3,1
4,1,2,6.46303,79.04962,62.12177,3.190019,5.452132,5.329215,1,3
2,3,2,71.5232599999999,5.69324000000006,65.43076,0.687590999999999,-0.104827,2.014764,3,1
2,2,0,67.13067,71.92572,0,1.51254,0.247733999999998,0,1,3
2,2,0,66.60754,70.164,0,-1.829882,-3.039595,0,3,1
2,2,0,64.45615,66.82645,0,-2.345095,-3.505388,0,1,1
2,2,0,62.08087,63.3122,0,-2.380681,-3.495965,0,1,3
2,2,0,57.70816,57.8438600000001,0,-5.653933,-6.727644,0,3,4
2,2,0,53.7458600000001,52.8262000000001,0,-2.850464,-3.885296,0,4,3
2,2,0,49.1949599999999,47.2577,0,-5.644095,-6.642184,0,3,1
2,3,0,43.2797000000001,23.2405,0,-6.080175,-4.839752,0,1,1
2,3,0,37.17165,28.17796,0,-6.1156,-5.027483,0,1,1
2,3,0,31.0687,26.28837,0,-6.084598,-6.98163,0,1,0
3,2,2,19.6086,9.31529999999998,25.2713,-6.851598,-6.135732,-5.985963,0,4
3,2,2,14.75122,13.4920599999999,21.26527,-3.52179,-2.880264,-2.686646,4,2
3,2,2,11.90943,15.7247699999999,19.24463,-2.818645,-2.245521,-2.013175,2,4
3,2,2,11.1324999999999,15.9583,19.2596,0.593115000000001,1.103646,1.369673,4,4
3,2,2,14.1181,12.4892,23.0086100000001,4.555261,5.008703,5.303616,4,2
3,2,2,19.1060600000001,7.07246999999995,28.7320400000001,5.282985,5.684465,6.003825,2,3
3,2,2,22.47574,3.32370000000003,32.8098999999999,2.139676,2.493911,2.833663,3,3
3,2,2,22.30056,3.16510000000005,33.3163599999999,-1.666752,-1.355454,-0.998974,3,4
3,2,2,28.93369,19.19428,9.1592,-3.323465,-3.346077,-3.756094,4,4
3,2,2,25.46688,17.83944,7.56136999999998,-4.261438,-0.329889000000001,-0.275375,4,4
3,2,2,22.6189,19.47094,9.56407000000002,-2.116793,2.723818,3.442881,4,1
3,2,2,20.48134,22.27083,13.34457,-2.285992,2.72738,3.970785,1,4
3,2,2,19.96104,26.84847,19.32823,0.464684999999999,5.699404,7.262461,4,1
4,2,1,20.42423,32.7511,26.89212,0.261452999999999,5.983213,7.739153,1,1
4,1,1,20.33457,38.69846,34.65277,-0.529024999999999,5.893092,7.759854,1,3
4,1,1,16.97286,42.53454,40.38418,-3.734008,2.482845,4.401857,3,4
3,1,1,15.7071800000001,46.65616,46.43185,0.634758,5.180104,7.107457,4,1
3,1,1,17.30169,52.11077,53.80432,2.510229,5.633395,7.534987,1,1
3,1,1,20.42035,57.79522,61.36749,3.740349,5.722507,7.570508,1,1
3,1,1,24.59883,63.53694,68.9227,4.627834,5.761941,7.531879,1,3
3,1,1,27.53018,67.30648,74.41678,1.943869,2.484264,4.152637,3,1
3,1,1,29.34912,69.46706,78.1890800000001,1.816106,1.960727,3.503263,1,3
3,1,1,27.25628,69.38037,79.57632,-3.981186,-1.406321,-0.015599000000002,3,4
2,1,2,25.3231,69.6528,29.7003,-0.439326000000001,1.374355,1.629095,4,1
2,1,2,25.48017,71.33243,31.67471,0.670566000000001,1.888883,2.218263,1,3
2,1,2,24.43073,71.28138,31.9665,-2.072449,-1.301248,-0.951401000000001,3,4
2,2,2,24.215,21.53681,32.70426,1.061116,1.842884,1.835659,4,2
2,2,2,26.10089,24.11175,35.22717,1.894833,2.481356,2.383886,2,3
2,2,2,26.0584099999999,24.5732699999999,35.55761,-1.226709,-0.812221000000001,-0.980250999999999,3,2
2,2,2,24.56777,23.4274,34.2117,-1.634241,-1.364361,-1.601829,2,4
2,2,2,24.9389,24.0114600000001,34.5227500000001,1.694152,1.8468,1.53112,4,3
2,2,2,24.9945,24.17486,34.32916,-0.995234,-0.934414,-1.34103,3,1
2,2,2,23.7394300000001,22.94663,32.64693,-1.414184,-1.422445,-1.932741,1,3
2,3,2,20.2843,19.4588,28.59626,-4.775333,-4.832709,-5.456951,3,4
2,2,0,24.737,17.1785699999999,0,-2.85103,-2.017311,0,4,4
2,2,0,24.11934,17.4607,0,0.804787999999999,1.777548,0,4,1
2,2,0,25.25843,19.63163,0,1.329482,2.425905,0,1,3
2,2,0,24.59153,20.1123,0,-1.988461,-0.785826,0,3,4
2,2,0,24.2337,20.99946,0,0.680965000000001,1.970865,0,4,1
2,2,0,25.1608,23.2496,0,1.069723,2.427191,0,1,3
2,2,0,24.2360600000001,23.7063000000001,0,-2.234393,-0.828994000000002,0,3,1
2,2,0,21.6407399999999,22.53149,0,-2.839792,-1.405293,0,1,3
2,2,0,16.71505,19.04712,0,-6.287647,-4.841446,0,3,4
2,2,0,12.0726000000001,15.8503000000001,0,-3.576468,-2.134081,0,4,4
2,2,0,10.78414,15.9972,0,0.197903,1.623133,0,4,0
2,3,2,18.3992400000001,17.1909400000001,11.7732400000001,2.331598,2.47258,0.934575000000002,0,3
2,3,2,18.70114,17.65104,10.69474,-0.985504000000002,-0.807897000000001,-2.345544,3,4
2,3,2,19.3818299999999,18.5258299999999,10.03527,1.75902,1.97166,0.442581000000001,4,1
2,3,2,21.41773,20.7899199999999,10.77696,2.211449,2.456987,0.943268,1,3
2,3,2,21.65943,21.29157,9.77417000000003,-1.042243,-0.766374000000003,-2.259233,3,4
2,3,2,22.28477,22.2058499999999,9.20706999999993,1.706039,2.00935,0.541699999999999,4,1
2,3,2,24.2711,24.50714,10.0538,2.166107,2.493748,1.054663,1,3
2,3,2,24.4715,25.0453,9.16719999999998,-1.078663,-0.729924999999998,-2.137935,3,4
2,3,2,25.06486,25.6748,8.72499999999991,1.67901,1.96847,0.670429000000002,4,1
2,3,2,27.0286,23.4148,9.70310000000006,2.148611,2.452134,1.188686,1,3
2,3,2,27.2159399999999,22.9186000000001,8.95229999999992,-1.086685,-0.772183999999999,-2.00038,3,1
2,3,2,25.7955000000001,24.02056,6.63873999999998,-1.636213,-1.313713,-2.506353,1,4
2,3,2,26.1147999999999,23.3761,6.10720000000003,1.59198,1.919652,0.762578999999999,4,1
2,2,0,10.4174,30.38622,0,-2.878536,-3.008984,0,1,4
2,2,0,9.09344000000002,28.90643,0,-0.486239999999999,-0.808864,0,4,0
2,2,2,28.1882,55.08806,8.97224,-1.349624,-5.025747,-0.410695999999998,0,1
2,2,2,26.38174,50.40604,8.41570000000002,-2.252151,-4.353358,-0.65522,1,1
2,2,2,23.80326,46.18549,7.70953000000003,-2.913282,-4.138576,-0.747980000000002,1,3
2,2,2,18.6518,40.0107,4.93689999999998,-6.683031,-7.553528,-4.086415,3,4
2,2,2,13.49614,34.004,2.52208000000002,-4.20137,-5.083046,-1.321827,4,1
2,2,2,9.51496000000003,29.03967,1.49835000000002,-3.845651,-4.977474,-0.822101,1,4
2,2,2,7.72213999999997,25.9411,2.75029999999998,-0.443529999999999,-1.965954,2.607097,4,4
2,3,2,9.67717999999996,10.41245,7.73317999999995,3.544063,2.60561,6.532498,4,1
2,3,2,13.68909,7.55917999999997,14.67987,4.354759,2.932428,7.219545,1,1
2,3,2,18.19204,4.7244,21.97476,4.641374,2.686655,7.345347,1,3
2,3,2,20.91955,4.20832000000002,27.32357,1.525362,-0.980963000000001,4.050355,3,1
2,3,1,22.1861,5.70715000000001,31.02936,1.137174,-1.924096,3.478478,1,3
2,4,1,21.33117,9.88131999999996,32.43127,-2.11498,-5.728339,0.046534000000001,3,1
2,4,1,18.93021,14.47757,32.11118,-2.557331,-7.64247,-0.56683,1,2
2,4,1,16.69556,6.91858000000002,31.79141,-2.468241,-8.057459,-0.637658999999999,2,1
2,4,1,14.20404,1.37324000000001,31.06036,-2.458689,-8.48465,-0.776192999999999,1,4
2,4,1,13.78895,7.97861,32.26321,0.927113000000002,-5.428751,2.473296,4,1
2,4,1,15.0849000000001,13.14017,35.04614,1.544521,-5.002424,2.965805,1,2
2,4,1,16.70392,9.02179000000001,38.03241,1.67154,-4.546058,2.978989,2,1
2,4,1,18.3919000000001,4.66606999999999,40.9789000000001,1.69858,-4.127858,2.903067,1,3
1,5,1,18.07987,1.25576999999998,41.8275000000001,-1.622961,-6.97353,-0.510562999999998,3,2
1,1,0,40.9246800000001,16.1034500000001,0,-1.182714,-2.21405,0,2,1
1,1,0,39.6322700000001,13.8132400000001,0,-1.3893,-2.350804,0,1,1
1,2,0,38.1809400000001,11.4286400000001,0,-1.517384,-2.42043,0,1,3
1,3,0,34.59983,6.9674,0,-4.947598,-5.803532,0,3,1
1,3,0,29.25769,0.787050000000022,0,-5.622802,-6.442672,0,1,1
1,3,0,23.5277,5.75009999999998,0,-5.822486,-6.616714,0,1,4
1,3,0,19.6600299999999,10.4036000000001,0,-2.61809,-3.396124,0,4,1
1,3,0,17.34257,13.4948000000001,0,-2.140658,-2.910671,0,1,3
1,3,0,13.2138,18.3924400000001,0,-5.436865,-6.205525,0,3,4
1,2,0,9.42226000000005,20.35886,0,-2.735545,-3.811875,0,4,4
1,2,0,8.95756000000006,18.83466,0,1.000515,-0.039206999999998,0,4,1
2,2,0,10.3303999999999,19.1862,0,1.606783,0.607109000000001,0,1,0
2,2,2,20.27935,11.29436,12.4037,0.818197999999999,1.400138,1.775634,0,3
2,2,2,19.03416,10.6616,12.0958000000001,-2.541541,-1.89724,-1.627331,3,4
2,2,2,18.1756,10.4705,12.1312,0.244842999999999,0.936454999999999,1.115902,4,1
2,2,2,18.725,11.7287,13.5319400000001,0.758156,1.484468,1.587036,1,3
2,2,2,17.54438,11.2865,13.1610800000001,-2.428467,-1.677857,-1.640104,3,1
2,2,2,14.8057,9.30649999999991,11.1926999999999,-2.927045,-2.160596,-2.177038,1,1
2,2,2,11.84824,7.12015000000008,8.9683,-2.963486,-2.187971,-2.249344,1,4
2,2,2,10.91321,6.96276,8.73166000000003,0.397361999999998,1.17659,1.078295,4,1
3,2,2,11.68125,8.51009999999997,10.1662,1.02343,1.802209,1.673863,1,3
3,2,2,10.7823,8.38850000000002,9.90449999999998,-2.133789,-1.358651,-1.511191,3,4
3,2,2,10.3545600000001,8.73326000000009,10.0872600000001,0.695395000000001,1.464483,1.292709,4,1
3,2,2,11.3657000000001,10.5099,11.6849000000002,1.230796,1.992059,1.80523,1,1
3,2,2,12.6745000000001,12.5758000000001,13.5582999999999,1.3736,2.12575,1.92737,1,1
3,2,2,14.085,14.7339,15.5137999999999,1.448494,2.190637,1.983627,1,1
3,2,2,15.5630999999999,16.9491999999998,17.5188999999998,1.510819,2.24236,2.029152,1,3
1,3,3,65.70372,44.5941,10.28586,-1.574022,-1.278538,-3.611103,3,1
1,3,3,63.03021,41.01809,4.10956999999999,-4.046957,-6.449427,-9.232425,1,1
1,3,3,57.78195,31.85457,4.76112000000001,-6.420042,-12.307741,-8.509595,1,3
1,3,3,48.69671,15.53863,12.45761,-10.962998,-18.785317,-6.214115,3,4
1,4,2,39.14688,1.67016999999998,7.78381000000002,-8.648883,-16.034968,-3.722241,4,3
1,4,2,28.75882,4.14920000000001,2.23833999999999,-11.464098,-16.312237,-6.77159,3,4
1,5,2,19.12842,11.04778,2.90082000000001,-8.349842,-14.800753,-4.115879,4,4
1,5,2,13.26233,3.48595999999998,4.78974,-4.151883,-14.4905414,-0.478157,4,1
1,6,1,9.70262000000002,0.608699999999999,4.94909999999999,-3.077466,-14.039823,0.010527000000003,1,4
1,6,1,8.89377999999999,10.3098,2.93790000000001,0.752969,-8.1785205,3.272007,4,1
2,4,1,10.17274,2.82603999999998,0.60784000000001,1.695904,-6.859963,3.681513,1,1
2,4,1,12.0755,3.62248,4.26253000000003,2.099623,-6.006079,3.591217,1,1
2,4,1,14.30688,9.26590000000004,7.76872999999995,2.367931,-5.237286,3.400695,1,3
2,4,1,14.76538,13.98062,9.05685999999997,-0.741365000000002,-6.660532,-0.139685,3,1
2,4,1,13.76043,7.18263999999999,8.46047999999996,-1.143476,-6.81357,-0.952532999999999,1,1
2,4,1,12.62186,0.44292999999999,7.32709,-1.109431,-6.654507,-1.314213,1,1
2,3,2,11.5527500000001,6.16324999999995,5.87342000000001,-1.022469,-6.574711,-1.61018,1,1
2,4,1,10.5681099999999,12.7584900000001,4.12765000000002,-0.944077999999998,-6.649255,-1.900705,1,1
1,3,3,9.65455999999995,11.58376,2.09176000000002,-0.881515,-8.058129,-2.18958,1,1
1,3,3,8.79655000000003,3.10609999999997,0.220969999999966,-0.833404999999999,-9.003532,-2.440073,1,1
1,4,3,7.98090000000002,6.43154000000004,2.74324999999999,-0.797395999999999,-10.182927,-2.597593,1,4
1,5,2,9.20655000000011,6.13485000000003,3.36434999999994,2.545084,-10.5766933,0.664110000000001,4,3
1,4,2,10.09394,6.49066000000005,4.3583000000001,-0.186765999999999,-14.0740284,-2.054192,3,4
1,4,2,11.63819,17.30535,4.64831000000004,2.670976,-9.0479624,0.883908999999999,4,3
1,3,2,12.59699,7.11968999999999,5.42265000000009,-0.153217999999999,-10.622523,-1.819693,3,1
1,2,2,12.15167,3.18539999999996,7.47015999999996,-0.635292,-9.795735,-2.162072,1,4
1,2,3,13.4758899999999,10.41764,7.60541000000001,2.596746,-5.28105,1.214059,4,3
1,2,3,14.3955999999999,16.8121600000001,8.00265000000002,-0.171308,-6.864149,-1.414606,3,4
1,2,3,15.9454899999999,16.12574,7.63456000000008,2.666882,-0.978975,1.553347,4,1
1,3,3,18.90373,15.7004000000001,5.73379999999997,3.145882,0.034763999999999,2.15035,1,3
1,3,3,20.0863999999999,13.9675,5.49630000000002,-0.095063,-2.808602,-0.984793,3,1
1,3,3,19.6527599999999,10.96456,6.77478000000008,-0.655203999999998,-3.075485,-1.450857,1,1
1,3,3,18.9370100000001,7.9353000000001,8.24653999999998,-0.756857,-2.959503,-1.469242,1,1
1,3,3,18.1671700000001,5.04327000000001,9.69369999999992,-0.779518999999997,-2.817601,-1.418381,1,3
1,3,3,15.37315,0.273400000000038,13.0956,-4.104271,-6.014326,-4.678295,3,1
2,3,2,10.9229499999999,6.03705000000002,18.0925500000001,-4.675835,-6.482847,-5.192722,1,2
2,3,2,6.45627000000002,12.2695,23.66586,-4.717611,-6.438742,-6.540789,2,4
2,2,2,3.68880000000001,16.7228,23.5077700000001,-1.47673,-3.123972,-1.646513,4,4
2,2,2,4.56330000000003,17.46448,24.2227200000001,2.403015,0.82103,2.254832,4,0
2,3,2,7.76593000000003,15.81598,27.2863600000001,3.15519,1.63199,3.026319,0,3
2,3,2,8.90636000000006,16.17324,28.3062200000001,-0.130979999999997,-1.600481,-0.242553999999998,3,4
2,3,2,10.45484,16.07092,29.7503400000001,2.641708,1.221716,2.545639,4,2
2,3,2,13.788,14.13595,30.9133499999999,3.208674,1.834588,0.341329999999999,2,3
2,3,2,14.9644000000001,14.3135000000001,32.9367000000001,-0.105369,-1.436756,-3.344734,3,4
2,3,2,16.5371,14.0533,34.5897,2.666186,1.374581,-0.654636,4,3
2,3,2,17.4842000000001,14.3804,36.4959000000001,-0.1675,-1.42202,-0.216082,3,4
2,3,2,19.0377000000001,14.0651,38.0050000000001,2.674667,1.454714,2.634984,4,1
2,3,2,22.0114000000001,12.2960999999998,38.1664999999998,3.171249,1.983509,0.155170999999999,1,2
2,2,2,37.6398999999999,25.6542999999999,28.0017,0.514768999999999,3.355752,3.606379,2,3
2,2,2,38.3717000000001,26.9399999999998,29.5472,-1.185122,-0.018392000000002,0.251356999999999,3,1
2,2,2,19.92535,50.33726,60.56831,-3.863218,-2.356041,-2.351778,1,4
2,2,3,15.66546,48.40301,5.87764999999999,-4.277944,-1.888068,-5.024978,4,0
2,0,2,46.59447,0,12.37581,-2.325506,0,-3.307534,0,1
2,0,2,44.02137,0,8.86308,-2.760765,0,-3.771686,1,1
2,0,2,41.15405,0,4.48286999999999,-2.971456,0,-4.893637,1,1
2,0,2,38.10272,0,0.149659999999983,-3.146202,0,-4.0432295,1,1
1,0,2,34.8541,0,3.71734000000004,-3.383858,0,-3.697922,1,4
