vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,action
1.0,1.0,6.0,11.00396999999998,96.45031999999998,22.31860999999998,-1.936888,-3.751009,-2.451588000000001,0.0,4.0
1.0,2.0,5.0,83.38287,11.221270000000004,19.57968,-2.400480999999999,1.0398029999999991,-4.306028000000001,4.0,1.0
1.0,2.0,5.0,81.69194999999999,12.533839999999998,12.903040000000004,-1.3604500000000002,1.2238369999999996,-9.597601,1.0,3.0
1.0,2.0,5.0,78.27066999999997,11.521119999999968,1.4313199999999997,-4.869114000000003,-2.5801920000000003,-18.792985,3.0,1.0
3.0,2.0,3.0,13.69300000000004,8.399290000000008,1.4856399999999894,-20.1589717,-3.550537000000002,-16.2927946,1.0,1.0
3.0,2.0,3.0,34.51461999999998,4.643840000000012,9.29394000000002,-18.8849065,-3.944381,-11.70276,1.0,1.0
3.0,3.0,2.0,30.25732000000005,0.5816299999999615,1.895270000000039,-14.632293,-4.1806090000000005,-10.633582,1.0,1.0
2.0,3.0,3.0,43.171730000000025,3.6820999999999913,12.116359999999986,-11.47432,-4.3501210000000015,-9.798448,1.0,1.0
2.0,2.0,3.0,46.08401999999995,8.095640000000003,15.16046,-7.322748999999998,-4.480378999999999,-8.560107999999998,1.0,4.0
2.0,3.0,2.0,29.12903999999997,10.615949999999998,8.423400000000015,-5.997606000000001,-1.267037000000002,-5.641662000000002,4.0,3.0
2.0,2.0,2.0,34.70274999999998,13.589650000000006,0.9390500000000088,-7.145022999999998,-4.099398000000001,-8.762137000000001,3.0,1.0
2.0,2.0,3.0,27.19711000000001,18.006050000000016,8.265330000000006,-7.7742840000000015,-4.635635000000001,-9.561423,1.0,4.0
2.0,2.0,3.0,21.31601999999998,20.705859999999973,16.002039999999965,-4.681907000000001,-1.4522709999999996,-6.611017500000001,4.0,4.0
2.0,2.0,3.0,18.91789999999997,19.83295000000004,12.2192,-0.941566,2.375999,-3.5241299999999995,4.0,1.0
2.0,2.0,3.0,18.323049999999967,17.071500000000015,9.019929999999988,-0.3930079999999982,3.006094000000001,-3.028981999999999,1.0,3.0
2.0,2.0,3.0,15.94324000000006,16.018159999999966,3.966279999999984,-3.689532999999999,-0.2197549999999992,-6.411166,3.0,4.0
2.0,2.0,3.0,13.897199999999998,14.567099999999982,0.8480999999999312,-0.9907240000000002,2.534467,-3.813192000000001,4.0,1.0
2.0,2.0,3.0,13.170200000000024,11.75019999999995,4.4424000000000206,-0.5624759999999984,2.99944,-3.4770969999999988,1.0,1.0
2.0,2.0,3.0,12.645800000000008,8.703339999999912,7.912799999999947,-0.500350000000001,3.0777149999999978,-3.474921,1.0,1.0
3.0,2.0,3.0,12.15494000000001,5.616600000000062,11.387699999999995,-0.4797050000000009,3.093719,-3.464793,1.0,1.0
2.0,2.0,4.0,11.68897000000004,2.51882999999998,14.821829999999975,-0.447010999999998,3.102278000000002,-3.385462999999998,1.0,1.0
3.0,2.0,3.0,11.264300000000048,0.5878000000000156,12.653050000000007,-0.3958730000000017,3.112199999999998,-2.689731000000002,1.0,1.0
3.0,2.0,3.0,10.898800000000051,3.705600000000004,10.11590000000001,-0.3283579999999997,3.124516,-2.361692,1.0,1.0
3.0,2.0,3.0,10.606960000000072,6.836660000000052,7.907159999999976,-0.2480529999999987,3.138975000000002,-2.0355929999999987,1.0,3.0
2.0,2.0,3.0,8.389859999999999,7.972930000000019,4.007659999999987,-3.475032000000001,-0.1612679999999997,-5.042590000000001,3.0,4.0
2.0,2.0,3.0,6.625649999999951,9.48644999999999,0.7665499999999383,-0.6299460000000021,2.6060139999999983,-2.0091810000000017,4.0,1.0
2.0,2.0,3.0,6.326369999999997,12.385869999999954,0.8369300000000521,-0.0614799999999995,3.094531,-1.285577,1.0,4.0
