vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,action
1.0,4.0,0.0,72.96059,11.182069999999982,0.0,-2.8160479999999986,-1.570011000000001,0.0,0.0,1.0
1.0,4.0,0.0,70.08733999999998,7.62706,0.0,-3.1317559999999993,-5.622674999999997,0.0,1.0,1.0
1.0,4.0,0.0,66.58489999999998,0.3493100000000027,0.0,-3.9465429999999984,-9.178437999999998,0.0,1.0,3.0
1.0,4.0,0.0,60.24688999999998,12.254359999999991,0.0,-8.062094000000002,-17.451634,0.0,3.0,1.0
1.0,4.0,0.0,51.51481000000001,5.331479999999999,0.0,-9.303867999999998,-17.464339,0.0,1.0,4.0
1.0,4.0,0.0,43.90162000000004,7.14948000000004,0.0,-6.617508000000001,-10.253737000000001,0.0,4.0,4.0
1.0,4.0,0.0,39.43363000000005,0.8869299999999498,0.0,-3.141873999999998,-6.627174999999999,0.0,4.0,3.0
1.0,4.0,0.0,34.551909999999964,9.172240000000045,0.0,-6.053767999999998,-9.359245999999999,0.0,3.0,1.0
1.0,3.0,0.0,28.150239999999997,15.360320000000002,0.0,-6.644027999999999,-9.025023,0.0,1.0,3.0
1.0,3.0,0.0,19.424319999999966,4.45911000000001,0.0,-10.075648000000001,-12.02379,0.0,3.0,4.0
1.0,3.0,0.0,11.019529999999975,5.712890000000016,0.0,-7.301611999999999,-8.87387,0.0,4.0,0.0
2.0,3.0,2.0,14.95790999999997,1.4934399999999641,4.3036200000000235,-10.186883000000002,-11.111340000000002,-6.685838,0.0,4.0
2.0,3.0,2.0,22.515980000000013,10.980039999999974,0.3175899999999956,-2.8848420000000026,-8.571115,-3.2243550000000027,4.0,1.0
2.0,3.0,1.0,20.08728000000002,7.831200000000024,3.126350000000002,-2.0886890000000022,-9.385293,-2.504634000000003,1.0,1.0
2.0,3.0,1.0,18.14309999999989,1.303600000000074,5.502800000000036,-1.8152450000000009,-8.837145,-2.259193,1.0,3.0
2.0,3.0,2.0,14.396550000000047,11.858699999999999,9.69380000000001,-4.972894,-11.510079,-5.4134949999999975,3.0,4.0
