vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,action
3.0,0.0,1.0,25.254947662353516,10000.0,32.10258197784424,10.628359317779541,10000.0,17.945338249206543,0.0,4.0
3.0,0.0,1.0,18.26063346862793,10000.0,23.462273597717285,11.209744453430176,10000.0,-4.279434680938721,4.0,3.0
3.0,0.0,1.0,9.041662216186523,10000.0,23.524516105651855,8.46517825126648,10000.0,18.3116512298584,3.0,4.0
3.0,0.0,1.0,6.548763275146481,10000.0,10.073129653930664,-0.38428258895874023,10000.0,10.717717170715332,4.0,3.0
2.0,0.0,2.0,25.132152557373047,10000.0,3.6169738769531286,4.922219276428224,10000.0,4.688434034585953,3.0,2.0
2.0,0.0,2.0,20.30673861503601,10000.0,3.6542558670043945,5.129196621477604,10000.0,-1.7514338493347168,2.0,2.0
2.0,0.0,2.0,21.399184226989746,10000.0,7.471876621246338,-4.618239402770995,10000.0,-4.6049861907958975,2.0,3.0
2.0,2.0,0.0,9.705732107162476,21.220330476760864,10000.0,-0.387626647949217,2.9873857498168945,10000.0,3.0,3.0
1.0,3.0,0.0,4.87454128265381,5.593149185180664,10000.0,10.043836116790771,6.436255931854248,10000.0,3.0,3.0
3.0,0.0,1.0,25.64397239685059,10000.0,31.53328037261963,13.016361236572266,10000.0,22.66308307647705,3.0,4.0
3.0,0.0,1.0,15.748250961303707,10000.0,24.260533332824707,10.1795072555542,10000.0,-7.312524318695068,4.0,1.0
3.0,0.0,1.0,13.788490295410156,10000.0,16.384557723999023,-3.2383389472961426,10000.0,11.413155555725098,1.0,3.0
3.0,0.0,1.0,10.662136077880856,10000.0,20.209509849548336,2.355447292327881,10000.0,-5.005874633789061,3.0,4.0
3.0,0.0,1.0,21.84216284751892,10000.0,15.817801475524902,1.1180508136749268,10000.0,-4.639495611190796,4.0,3.0
3.0,0.0,1.0,18.672499179840088,10000.0,17.014083862304688,4.3564463928341866,10000.0,0.46820044517517134,3.0,3.0
1.0,3.0,0.0,11.657512664794924,3.081448554992674,10000.0,8.390074580907822,21.122506141662598,10000.0,3.0,2.0
1.0,3.0,0.0,0.9781143665313721,0.9914565086364746,10000.0,11.568017985671759,11.602452576276846,10000.0,2.0,3.0
3.0,0.0,1.0,12.574594974517822,10000.0,12.572494745254517,14.242838095873594,10000.0,14.248229524651833,3.0,4.0
3.0,0.0,1.0,22.422559022903442,10000.0,29.262821197509766,7.307287871699373,10000.0,-9.411123752593994,4.0,3.0
4.0,0.0,0.0,33.918734312057495,10000.0,10000.0,14.228377581874838,10000.0,10000.0,3.0,4.0
4.0,0.0,0.0,37.72509765624999,10000.0,10000.0,-4.1499481201171875,10000.0,10000.0,4.0,0.0
4.0,0.0,0.0,42.157924652099595,10000.0,10000.0,-4.622372627258301,10000.0,10000.0,0.0,4.0
4.0,0.0,0.0,48.840293884277344,10000.0,10000.0,-8.021200180053711,10000.0,10000.0,4.0,0.0
4.0,0.0,0.0,57.21354675292969,10000.0,10000.0,-8.60205078125,10000.0,10000.0,0.0,3.0
4.0,0.0,0.0,63.865631103515625,10000.0,10000.0,-5.384864807128906,10000.0,10000.0,3.0,4.0
4.0,0.0,0.0,70.92739868164062,10000.0,10000.0,-8.151533126831055,10000.0,10000.0,4.0,1.0
4.0,0.0,0.0,79.36549377441406,10000.0,10000.0,-8.624323844909668,10000.0,10000.0,1.0,3.0
4.0,0.0,0.0,86.02865600585938,10000.0,10000.0,-5.388671874999998,10000.0,10000.0,3.0,0.0
4.0,0.0,0.0,91.08219146728516,10000.0,10000.0,-4.835736274719238,10000.0,10000.0,0.0,1.0
4.0,0.0,0.0,95.86065673828125,10000.0,10000.0,-4.741246223449707,10000.0,10000.0,1.0,0.0
4.0,0.0,0.0,100.59211730957034,10000.0,10000.0,-4.725099563598633,10000.0,10000.0,0.0,3.0
4.0,0.0,0.0,103.30540466308594,10000.0,10000.0,-1.4058933258056623,10000.0,10000.0,3.0,4.0
4.0,0.0,0.0,106.37763977050781,10000.0,10000.0,-4.155126571655273,10000.0,10000.0,4.0,0.0
4.0,0.0,0.0,110.8175201416015,10000.0,10000.0,-4.624938011169435,10000.0,10000.0,0.0,3.0
4.0,0.0,0.0,113.48098754882812,10000.0,10000.0,-1.3887767791748047,10000.0,10000.0,3.0,4.0
4.0,0.0,0.0,116.54470825195315,10000.0,10000.0,-4.1522016525268555,10000.0,10000.0,4.0,3.0
4.0,0.0,0.0,118.97300720214844,10000.0,10000.0,-1.3079910278320312,10000.0,10000.0,3.0,3.0
4.0,0.0,0.0,117.97627258300787,10000.0,10000.0,2.494497299194336,10000.0,10000.0,3.0,4.0
4.0,0.0,0.0,117.09805297851562,10000.0,10000.0,-0.172149658203125,10000.0,10000.0,4.0,0.0
4.0,0.0,0.0,117.54641723632812,10000.0,10000.0,-0.6278476715087891,10000.0,10000.0,0.0,4.0
4.0,0.0,0.0,120.23159790039068,10000.0,10000.0,-4.022168159484863,10000.0,10000.0,4.0,3.0
4.0,0.0,0.0,122.59518432617193,10000.0,10000.0,-1.2857704162597656,10000.0,10000.0,3.0,3.0
4.0,0.0,0.0,121.58740234375,10000.0,10000.0,2.4982948303222656,10000.0,10000.0,3.0,0.0
4.0,0.0,0.0,118.69717407226562,10000.0,10000.0,3.144947052001953,10000.0,10000.0,0.0,1.0
4.0,0.0,0.0,115.4852294921875,10000.0,10000.0,3.2554531097412074,10000.0,10000.0,1.0,1.0
4.0,0.0,0.0,112.21835327148438,10000.0,10000.0,3.2743358612060547,10000.0,10000.0,1.0,0.0
4.0,0.0,0.0,108.94207763671875,10000.0,10000.0,3.2775630950927734,10000.0,10000.0,0.0,4.0
4.0,0.0,0.0,107.67428588867188,10000.0,10000.0,-0.03833198547363281,10000.0,10000.0,4.0,3.0
4.0,0.0,0.0,106.0459594726562,10000.0,10000.0,2.711467742919922,10000.0,10000.0,3.0,1.0
4.0,0.0,0.0,103.04965209960938,10000.0,10000.0,3.1813755035400355,10000.0,10000.0,1.0,0.0
4.0,0.0,0.0,99.81964111328125,10000.0,10000.0,3.2616786956787145,10000.0,10000.0,0.0,1.0
4.0,0.0,0.0,96.5496215820312,10000.0,10000.0,3.275400161743164,10000.0,10000.0,1.0,0.0
4.0,0.0,0.0,93.2728271484375,10000.0,10000.0,3.2777462005615234,10000.0,10000.0,0.0,0.0
4.0,0.0,0.0,89.99481201171875,10000.0,10000.0,3.278146743774414,10000.0,10000.0,0.0,3.0
